ticker, buy date, sell date, buy price, sell price, % change, days in trade
MMM,2000-02-16,2000-08-15,43.745625,47.90625,9.51095109510951,125
MMM,2000-09-22,2000-12-15,43.3125,56.625,30.73593073593073,59
MMM,2001-09-25,2001-11-23,45.045,57.775,28.260628260628252,42
MMM,2002-01-22,2003-03-25,53.286750000000005,65.29,22.52576860101245,295
MMM,2003-03-26,2003-07-31,65.49345,69.8,6.575543050488264,88
MMM,2004-08-17,2005-11-17,77.36850000000001,77.3,-0.08853732462179575,318
MMM,2005-11-18,2005-11-23,77.9625,78.07,0.13788680455344426,3
MMM,2006-02-02,2006-03-29,72.4284,77.81,7.430234548878634,38
MMM,2006-03-30,2006-03-31,76.79429999999999,76.52,-0.35718796837785893,1
MMM,2006-07-25,2006-10-30,70.29,78.99,12.377294067434885,68
MMM,2006-10-31,2006-11-08,78.20009999999999,79.44,1.5855478445679916,6
MMM,2007-02-07,2007-06-06,73.557,87.47,18.91458324836521,82
MMM,2007-11-01,2009-05-08,85.2093,59.21,-30.512279762889726,381
MMM,2009-05-11,2009-05-12,58.8159,59.42,1.0271032152870285,1
MMM,2010-06-09,2010-07-28,74.7153,86.44,15.692502071195591,34
MMM,2011-08-10,2012-01-30,80.19,86.5,7.8688115725152885,118
MMM,2012-01-31,2012-08-21,87.0012,93.98,8.02149855404295,141
MMM,2012-08-22,2013-01-14,91.6344,96.4,5.200666998419812,97
MMM,2013-01-15,2013-02-05,95.8617,101.31,5.683500292609045,14
MMM,2014-02-05,2014-06-11,126.72989009999999,144.66,14.14828805252788,87
MMM,2014-10-06,2014-11-26,139.14450000000002,157.97,13.529460381114578,37
MMM,2014-11-28,2014-12-02,157.98420000000002,158.78,0.5037212582017503,2
MMM,2015-07-29,2015-11-10,149.9256,157.23,4.872016520194,73
MMM,2015-11-11,2016-03-24,156.28140000000002,163.67999,4.734146225974412,91
MMM,2016-03-28,2016-03-30,163.28069010000002,165.37,1.2795817427770695,2
MMM,2016-10-27,2016-12-14,165.2013,179.16,8.449509779886721,33
MMM,2016-12-15,2017-03-17,175.4873901,190.82001,8.737163331942455,62
MMM,2017-07-28,2017-09-21,198.78209009999998,210.89999,6.096072283928566,38
MMM,2017-09-22,2017-10-18,207.5436,217.52,4.806893587660621,18
MMM,2018-02-12,2020-06-11,225.21510990000002,160.24001,-28.85024007885183,586
AXP,2000-02-29,2002-03-06,39.2834673,34.47807,-12.23262005693677,504
AXP,2002-03-07,2002-03-08,34.644555000000004,35.012,1.0606139983613483,1
AXP,2002-06-18,2003-03-25,32.625489599999995,31.5108,-3.4166218305578977,193
AXP,2003-03-26,2003-05-19,30.502454399999998,35.1433,15.214662856770001,37
AXP,2004-07-21,2004-10-11,42.7640994,45.75193,6.98677311558209,57
AXP,2005-01-19,2005-06-16,45.926991,48.11524,4.764625228767971,103
AXP,2005-06-17,2005-08-15,47.92004909999999,49.45445,3.2020019361791663,40
AXP,2008-01-17,2008-05-05,43.857,50.33,14.759331463620406,74
AXP,2008-05-06,2009-04-15,49.400999999999996,17.85,-63.867128195785504,237
AXP,2009-04-16,2009-04-21,20.176199999999998,18.03,-10.637285514616213,3
AXP,2011-08-08,2012-02-29,45.3915,53.46,17.775354416575784,141
AXP,2012-03-01,2012-03-21,52.4997,57.08,8.724430806271277,14
AXP,2014-08-11,2016-03-23,87.0408,60.7,-30.262589498258286,407
AXP,2016-03-24,2016-05-02,59.617799999999995,65.58,10.00070448758592,26
AXP,2016-06-30,2016-11-21,59.2713,71.31,20.311179272261626,100
AXP,2016-11-22,2016-11-29,71.1018,72.2,1.5445459889904312,4
AXP,2018-02-07,2018-04-23,92.5947,100.78,8.839922803356991,51
AXP,2018-04-24,2018-08-30,100.1781,106.6,6.410482929901828,90
AXP,2018-10-15,2019-02-15,101.8215,107.33,5.409957621916783,84
AXP,2019-02-19,2019-02-20,105.9795,106.57,0.5571832288319811,1
AXP,2020-03-05,2020-06-10,110.5038,110.0,-0.4559119233908726,67
AMGN,2001-03-26,2001-11-28,57.110625,65.2,14.164395854536703,168
AMGN,2001-11-29,2003-03-20,64.0728,58.14,-9.25946735588269,327
AMGN,2003-03-21,2003-04-28,58.1625,62.61,7.646679561573166,25
AMGN,2004-05-24,2005-08-09,53.6976,79.03,47.17603766276333,305
AMGN,2005-08-10,2005-09-13,79.4079,83.5,5.153265607074364,23
AMGN,2005-10-14,2006-08-07,75.3984,68.56,-9.069688481453175,203
AMGN,2006-08-08,2006-09-25,67.15169999999999,71.14,5.939239066174062,33
AMGN,2006-12-07,2007-01-19,69.2406,73.94,6.787058459920914,27
AMGN,2007-02-22,2007-05-04,66.1716,63.76,-3.6444637880903574,50
AMGN,2007-05-07,2007-09-17,63.36,55.65,-12.168560606060607,92
AMGN,2007-09-18,2008-06-27,54.8559,46.29,-15.615275658589134,196
AMGN,2008-06-30,2008-08-21,46.124100000000006,63.01,36.60971162580948,37
AMGN,2008-10-14,2009-07-13,52.9353,58.03,9.624390529571002,186
AMGN,2009-07-14,2009-07-21,57.321,58.67,2.353413234242252,5
AMGN,2009-10-30,2010-03-25,53.5689,59.4,10.885233783034565,99
AMGN,2010-03-26,2011-05-24,58.7466,60.53,3.035750154051464,293
AMGN,2011-05-25,2012-01-05,59.390100000000004,63.82,7.458987272289486,155
AMGN,2012-01-06,2012-01-10,63.59759999999999,64.55,1.497540787702678,2
AMGN,2013-01-23,2013-03-12,82.2294,91.58,11.371358662473519,33
AMGN,2015-08-27,2016-04-08,153.3312,158.24001,3.201442367893814,154
AMGN,2016-04-11,2016-04-25,154.8359901,163.14999,5.369552579235903,10
AMGN,2016-10-27,2017-01-12,158.1129099,155.44,-1.6905070570711223,52
AMGN,2017-01-13,2017-02-07,153.7272,167.0,8.63399580555686,16
AMGN,2017-05-24,2017-06-28,153.22230000000002,171.42,11.876665472323534,24
AMGN,2017-11-01,2018-01-26,173.547,191.05,10.08545235584597,58
AMGN,2018-01-29,2018-01-31,194.2479099,191.64,-1.3425678048956002,2
AMGN,2018-03-27,2018-07-12,174.39839999999998,194.19,11.348498610079005,74
AMGN,2018-10-30,2019-06-25,187.5356901,184.60001,-1.5653980841911275,162
AMGN,2019-06-26,2019-07-08,182.8629099,184.66,0.9827526538775722,7
BA,1999-12-10,2000-01-21,37.681875,46.5,23.401502711847556,28
